Vnorm;Vph;Gnorm;Gph
-153;-232;-75;-44
-136;-281;-107;-81
-112;-244;-95;-63
-74;-250;-101;-75
-132;-253;-119;-82
-157;-266;-81;-87
-214;-220;-109;-85
-170;-185;-47;-97
-178;-265;2;-82
-197;-311;702;-101
-222;-271;1121;-93
-208;-228;77;-102
-152;-310;-345;-94
-238;-255;-161;-100
-126;-211;-117;-107
-165;-298;-83;-101
-11;-273;-97;-99
287;-261;-98;-82
-66;-266;-71;-65
-440;-250;-38;-60
-418;-300;-69;-22
-247;-275;-34;-53
-202;-266;-50;-27
-178;-280;-20;-47
-148;-194;9;-66
-186;-222;44;-77
-163;-157;26;-111
-157;-141;67;-121
-185;-169;118;-111
-168;-187;128;-143
-180;-247;172;-48
-139;-278;172;-119
-129;-328;192;70
-152;-312;179;-62
-140;-244;121;113
-150;-296;64;738
-94;-305;16;93
-77;-83;-63;-100
-87;-278;-59;-24
-76;-145;-70;-149
-70;448;-99;-63
-52;47;-72;-134
-94;-562;-100;-55
-139;-675;-71;-112
-168;-437;-89;-51
-223;-320;-87;-73
-197;-287;-33;-38
-213;-232;-69;-46
-277;-282;-65;-22
-262;-231;-58;-17
-228;-209;-60;21
-188;-223;-51;24
-201;-151;-71;67
-193;-115;-56;63
-194;-100;-83;95
-179;-35;-60;93
-169;-70;-48;91
-180;0;-87;58
-174;141;-68;58
-183;73;-72;-21
-153;53;-81;0
-166;55;-82;-70
-181;-27;-85;-45
-160;-9;-84;-117
-173;-4;-96;-90
-165;-143;-79;-127
-169;-189;-83;-82
-184;-179;-102;-122
-172;-147;-79;-104
-173;-151;-66;-106
-185;-232;10;-90
-173;-139;18;-99
-159;-49;23;-87
-162;-121;65;-95
-136;-161;-47;-65
-164;-123;-74;-102
-180;-163;-66;-68
-176;-174;-123;-114
-159;-89;-111;-71
-138;-134;-102;-129
-162;-162;-123;-73
-143;-113;-82;-140
-160;-118;-126;-107
-163;-164;-79;-120
-164;-163;82;-98
-142;-144;829;-116
-117;-68;1018;-118
-155;-131;-76;-115
-149;-170;-331;-96
-90;-96;-96;-114
-145;-78;-90;-84
-165;-97;-45;-109
-113;-126;-75;-89
-106;-95;-43;-100
-111;-67;-33;-90
-119;-75;-50;-96
-88;-80;-49;-86
-47;-106;5;-102
-36;-26;8;-76
-69;-33;33;-93
-92;-115;51;-64
-129;-80;41;-71
-109;-62;82;-63
-102;-21;134;-47
-116;-63;126;-64
-74;-48;149;-96
-95;7;194;-112
-108;-62;189;-123
-69;-93;200;-140
-45;-53;196;-142
-58;29;121;-128
238;-54;64;-101
325;9;15;-23
19;137;-43;-72
-246;20;-72;127
-317;-9;-74;356
-124;-19;-113;103
-40;-62;-113;-173
-62;-11;-97;-281
-44;-17;-106;-245
4;-79;-117;-279
6;-39;-105;-301
-10;19;-89;-273
-9;-55;-76;-308
0;24;-70;-253
20;-8;-101;-272
10;157;-84;-231
10;511;-97;-244
44;60;-64;-194
32;-215;-89;-210
59;-275;-92;-181
67;-216;-76;-175
73;-25;-87;-131
103;25;-85;-127
110;67;-107;-67
125;53;-92;-92
98;105;-94;-49
83;93;-90;-78
46;114;-81;-44
20;159;-78;-95
2;170;-76;-72
-11;264;-74;-141
8;239;-54;-124
-50;240;-83;-171
-41;364;-70;-185
-20;426;-49;-182
-37;370;4;-177
27;407;52;-182
-9;398;64;-183
-19;342;58;-171
13;307;-12;-151
-16;242;-54;-146
33;239;-73;-125
47;190;-70;-131
4;176;-97;-94
48;201;-108;-116
26;188;-124;-91
14;196;-76;-112
53;201;-110;-113
31;206;-70;-124
41;219;115;-96
32;257;776;-130
41;242;1085;-118
58;204;91;-121
35;223;-317;-110
59;259;-169;-122
32;213;-129;-108
31;169;-53;-140
53;229;-91;-128
37;182;-81;-146
50;225;-71;-160
93;220;-56;-153
63;148;-79;-165
17;212;-58;-129
65;193;-39;-113
37;199;-17;-101
82;177;3;-45
75;203;23;-71
57;234;57;-16
57;225;59;-73
58;273;96;-82
61;208;134;-116
58;159;142;-129
81;243;152;-166
37;216;173;-152
31;218;163;-196
52;277;124;-122
43;294;78;-167
37;178;12;-16
28;226;-41;-128
29;317;-62;150
53;211;-67;734
94;266;-77;95
121;347;-92;-191
47;315;-58;-144
66;329;-71;-196
22;368;-41;-103
-28;345;-18;-168
53;306;-41;-81
21;261;-18;-145
-16;203;-13;-94
-41;267;-13;-112
44;234;-2;-101
-1;181;-30;-99
34;182;-10;-66
-21;366;-15;-92
145;244;-23;-48
548;386;-18;-47
211;721;-32;0
-107;305;-23;-13
-196;69;-21;17
-40;-78;-34;-20
49;-98;-30;40
-2;143;-28;-7
96;232;-27;10
47;209;4;-54
73;201;-21;-32
90;275;-36;-94
78;218;-13;-125
104;255;3;-139
97;214;80;-131
102;282;66;-169
108;303;99;-120
128;359;117;-167
135;374;28;-119
100;327;-19;-149
157;444;-42;-108
206;427;-75;-128
169;427;-64;-83
183;406;-49;-130
228;355;-59;-96
171;352;-40;-121
157;230;-67;-90
174;202;18;-146
108;187;179;-115
55;118;846;-153
36;117;1051;-113
9;113;110;-144
4;105;-211;-104
-2;162;-116;-147
-3;160;-58;-109
-8;155;-5;-154
-22;127;-40;-92
1;132;-5;-167
23;145;1;-123
12;118;-5;-150
22;138;2;-72
52;138;28;-132
-19;64;81;-86
13;50;93;-142
6;121;98;-68
-12;42;100;-115
-13;24;141;-45
-25;87;172;-98
-14;-2;157;2
-26;25;194;-42
0;69;231;-15
-33;7;241;-44
-36;-51;253;33
-18;18;210;-111
-57;56;196;-72
29;-94;166;-166
-3;-54;78;-122
-20;41;36;-139
-8;-70;-18;-92
-3;-94;-11;-107
8;-5;-2;-38
-50;-68;-12;-112
-29;-88;-5;146
10;-68;6;461
-21;-47;1;194
-5;-15;11;-266
-17;-111;5;-362
19;-22;14;-307
10;-11;22;-293
6;-27;-6;-322
3;-22;-23;-349
-10;-36;1;-328
-25;-19;-4;-301
23;-145;-14;-312
34;-186;-23;-303
-13;-157;-13;-275
-19;-146;-9;-247
11;-154;-25;-249
24;-182;-41;-185
41;-212;-32;-198
-25;-55;-29;-165
43;-129;-29;-159
98;-38;-40;-81
8;454;-46;-125
30;89;-28;-67
41;-437;-41;-138
-25;-635;-34;-61
-50;-509;-39;-152
-37;-267;0;-127
16;-215;61;-201
-52;-223;48;-218
-51;-289;81;-218
-20;-195;72;-228
-47;-184;-13;-213
39;-173;-55;-220
-13;-131;-33;-219
218;-211;-75;-158
521;-130;-75;-223
90;-89;-34;-158
-310;-48;-109;-190
-241;-7;-60;-165
-40;23;-96;-202
-27;87;-36;-160
-4;84;122;-186
41;-10;844;-166
-1;-47;1105;-200
-14;-122;3;-120
68;-169;-295;-199
45;-202;-105;-193
32;-273;-101;-203
47;-280;-56;-162
68;-274;-46;-188
59;-300;-35;-168
72;-317;-47;-193
77;-257;-23;-156
167;-324;-24;-211
126;-289;-26;-107
177;-255;-13;-177
209;-373;15;-155
140;-252;18;-174
176;-238;53;-152
165;-304;108;-188
138;-306;104;-122
103;-360;100;-118
77;-371;171;-102
75;-331;181;-109
-19;-373;172;-13
0;-339;187;-140
-10;-361;173;-186
2;-454;116;-191
14;-340;38;-201
-16;-349;28;-197
-8;-365;-20;-166
16;-298;-93;-175
-3;-419;-94;-52
14;-408;-94;-152
-20;-337;-97;-26
-15;-357;-90;111
3;-393;-76;317
1;-389;-78;236
-25;-326;-66;-187
6;-368;-89;-207
-25;-384;-41;-206
-26;-346;-61;-206
-19;-386;-80;-180
-37;-380;-28;-171
-20;-368;-45;-167
-20;-319;-71;-144
-67;-286;-43;-129
-25;-329;-49;-139
-49;-359;-39;-92
-46;-323;-34;-140
-16;-340;-63;-103
-61;-337;-30;-86
-42;-303;-75;-31
-51;-315;-48;-44
-51;-332;-43;29
-42;-317;-48;1
-39;-315;-29;132
-22;-256;-71;114
-27;-232;-69;122
-34;-222;-94;106
-16;-275;-53;105
25;-301;-47;58
-21;-325;-54;53
-32;-310;-47;-35
-6;-284;-39;13
-1;-332;72;-54
-13;-316;29;-53
4;-294;53;-89
-9;-223;74;-77
-1;-253;-45;-66
4;-203;-45;-66
-24;253;-47;-97
17;97;-87;-53
48;-354;-121;-113
-29;-634;-107;11
22;-631;-139;-98
8;-308;-102;-15
7;-252;-131;-99
66;-226;-63;-19
40;-199;64;-90
70;-182;796;-67
34;-195;1090;-111
-43;-203;-34;-75
19;-140;-335;-111
15;-82;-108;-77
-31;-94;-94;-147
-59;-79;-76;-94
-56;5;-104;-153
-1;-6;-79;-103
-70;50;-72;-144
51;97;-54;-86
-53;156;-52;-145
37;119;-34;-129
536;116;43;-173
210;82;33;-103
-190;-16;7;-143
-297;-58;60;-94
-151;-90;40;-117
-14;-100;109;-108
-38;-88;160;-70
20;-91;193;-13
-5;-77;210;-28
-12;-60;195;35
12;-55;210;-19
-5;-87;192;-73
28;-29;153;-126
54;23;85;-115
47;-5;37;-156
41;-13;-26;-86
31;-39;-48;-149
52;-41;-81;-62
72;-28;-81;-216
95;-56;-62;-76
145;-29;-87;-101
141;6;-77;414
162;-55;-66;791
172;-32;-50;-118
190;-18;-56;-328
138;-63;-59;-194
127;20;-30;-234
102;-25;-68;-143
29;-23;-88;-220
51;7;-36;-182
63;6;-59;-198
-25;26;-67;-178
-17;-41;-57;-173
-13;5;-85;-186
-29;-3;-97;-200
2;1;-93;-131
20;115;-84;-130
13;54;-90;-121
18;30;-83;-115
7;33;-73;-47
30;40;-87;-38
18;44;-90;-3
23;74;-84;-14
16;70;-81;-7
0;73;-84;-60
-7;100;-79;-29
-4;74;-70;-126
-16;66;-75;-96
2;88;-60;-166
-22;73;-58;-203
-37;85;-81;-214
1;125;-72;-201
-21;116;-23;-198
-42;85;23;-235
-4;230;41;-189
-79;197;68;-161
-19;160;66;-170
3;184;7;-121
-50;142;-74;-166
-17;111;-39;-140
-43;154;-59;-154
-23;135;-81;-109
-48;98;-74;-176
-50;145;-72;-103
7;68;-42;-188
-30;249;-112;-156
-20;207;-28;-160
-55;313;162;-167
-24;622;817;-143
-15;172;1038;-148
-33;4;20;-186
-17;-94;-299;-149
-31;-80;-100;-156
-1;130;-100;-146
-11;188;-38;-156
-21;211;-59;-134
8;181;-55;-166
-3;273;-49;-127
19;224;-28;-140
-6;226;-26;-127
-42;337;6;-209
13;306;26;-175
15;275;21;-234
-8;349;42;-193
72;418;47;-184
96;423;69;-162
69;456;101;-133
35;496;104;-102
-20;535;120;-80
-28;450;199;-84
-7;434;206;-226
-26;456;196;-172
0;364;173;-219
0;308;140;-229
-37;318;73;-206
-31;237;7;-130
33;287;-12;-205
-79;307;-32;-120
41;255;-85;-172
594;322;-92;206
263;294;-81;760
-148;283;-85;331
-176;318;-62;-271
-223;316;-99;-410
-71;314;-53;-319
6;301;-32;-243
25;304;-65;-253
28;289;-77;-222
17;342;-40;-225
12;255;-13;-226
22;266;-39;-205
43;301;-38;-190
1;231;-24;-180
37;216;-27;-161
41;219;-42;-134
21;292;-14;-118
